,Text,Total num. of Words,VLength,Vader Words Matches,Semantic Score (-4 to 4),Rate of All Words / Vader Words,Date
0,Link of the day Most popular link among people I follow is  by ,13,1,[popular],1.8,7.69230769231,Sat Jul 11 11:27:11 +0000 2015
1,More improvement to Nairobi in the last 3 weeks than the last 3 years  you should visit more  often,19,1,[improvement],2.0,5.26315789474,Sat Jul 11 11:25:49 +0000 2015
3,fileI485 Plz implement policy to provide AOS for approved I140      ,10,2,"[plz, approved]",1.05,20.0,Sat Jul 11 11:25:02 +0000 2015
4,      India with 400 of USA Population Size Lives in 25of USA Land Area  with Peace,15,1,[peace],2.5,6.66666666667,Sat Jul 11 11:24:40 +0000 2015
5,"   FEEL FREE TO TALK ABOUT THE MURDER OF KateSteinle KatesLaw tcot SanctuaryCity SanctuaryCities
httpt",14,2,"[free, murder]",-0.7,14.2857142857,Sat Jul 11 11:24:24 +0000 2015
7,  The President just took steps to protect more than one million acres of public land  ,15,1,[protect],1.6,6.66666666667,Sat Jul 11 11:24:02 +0000 2015
8,Equality  immigration illegals No one asked  what he was going to remake America into oops SJWs,16,1,[no],-1.2,6.25,Sat Jul 11 11:23:35 +0000 2015
9,  Please post something against Bok Nal Torture Festival South Korea is your ally stopboknal2015 ,14,3,"[please, torture, festival]",0.2,21.4285714286,Sat Jul 11 11:23:35 +0000 2015
11,  You inspired a whole new generation of young women President Obama to the  SheBelieves ,14,1,[inspired],2.2,7.14285714286,Sat Jul 11 11:23:10 +0000 2015
14,  LIVE President Obama is at  speaking about economic progress ,9,1,[progress],1.8,11.1111111111,Sat Jul 11 11:22:32 +0000 2015
15,  The uninsured rate is now at the lowest level to datethanks to Obamacare ,13,1,[lowest],-1.6,7.69230769231,Sat Jul 11 11:22:27 +0000 2015
16,Well done   Uninsured Rate Continues To Drop  via ,8,2,"[well, drop]",0.0,25.0,Sat Jul 11 11:22:23 +0000 2015
17, A LIFE A little innocent girlNOT THRU SCHOOL NO DATING YETNO PROMSNO SENIOR TRIP CONGRESS WOMAN GIFFORD,17,2,"[innocent, no]",0.1,11.7647058824,Sat Jul 11 11:22:23 +0000 2015
18, SHOOTING WITH GUN July 42015 NASHVILLE TENNESSEE BIG CELEBRATION A LITTLE GIRL SHOT WHAT SHOOTING AT BATMAN AND ROBIN UMBRELLA,20,1,[gun],-1.4,5.0,Sat Jul 11 11:21:05 +0000 2015
20, Have a good day sir,5,1,[good],1.9,20.0,Sat Jul 11 11:20:56 +0000 2015
21, COOL,1,1,[cool],1.3,100.0,Sat Jul 11 11:19:34 +0000 2015
22, RT  We at TEEP 15 boot camp  giving AfricanEntrepreneurs a voice Tnks4championing tru YALI Africapitalism,15,1,[giving],1.4,6.66666666667,Sat Jul 11 11:19:08 +0000 2015
24,"  FREEDOM

AS SERVED BY 

Drink up UniteBlue Drink up

WakeUpAmerica CulturalRot tcot  ",12,1,[freedom],3.2,8.33333333333,Sat Jul 11 11:18:51 +0000 2015
25,       USA Citizens Must Learn from INDIA to Live in Peace with 1000Castsand100Religions,12,1,[peace],2.5,8.33333333333,Sat Jul 11 11:18:50 +0000 2015
26,I will say whats obvious and wot most think  hates veterans and all the decency they represent PJNET ,18,1,[hates],-1.9,5.55555555556,Sat Jul 11 11:18:48 +0000 2015
27,   Cant i be freeor i you not enjoying freedom in your countryl need my own countrywhere i we be free biafra ipob,22,3,"[enjoying, freedom, free]",2.63333333333,13.6363636364,Sat Jul 11 11:16:25 +0000 2015
28,Thank you for this wine  ,5,1,[thank],1.5,20.0,Sat Jul 11 11:16:12 +0000 2015
30,  Read how the Obama administration plans to help renters and lowincome homeowners gain easier access to solar energy http,19,4,"[help, gain, easier, energy]",1.75,21.0526315789,Sat Jul 11 11:14:25 +0000 2015
33,  GameOfThrones superfan  is very upset about the death of Jon Snow  ,11,2,"[upset, death]",-2.25,18.1818181818,Sat Jul 11 11:13:29 +0000 2015
34,If you missed it here is the most popular link among people I follow  by ,15,2,"[missed, popular]",0.3,13.3333333333,Sat Jul 11 11:13:15 +0000 2015
35, Than fairy Shunji Yokoyama of a prince of Buddys family team goodwill friendship ambassador angel Good morning,17,2,"[friendship, good]",1.9,11.7647058824,Sat Jul 11 11:11:17 +0000 2015
38, To the grand United States world peace Nobel Prize prize winner United States Obama President named grand trust,18,9,"[grand, united, peace, prize, prize, winner, united, grand, trust]",2.2,50.0,Sat Jul 11 11:10:59 +0000 2015
40,    Bush left a secure Iraq Obama cut and ran for political purposes ISIS waltzed in,15,2,"[secure, cut]",0.15,13.3333333333,Sat Jul 11 11:10:04 +0000 2015
41, On the other hand the person is in spring to arrange a heart when it may increase that a country intervenes in the world of,25,2,"[hand, increase]",1.75,8.0,Sat Jul 11 11:09:29 +0000 2015
42,  Now whole Bosnia is under threat of Genocide by Russia and Serbia    ,12,1,[threat],-2.4,8.33333333333,Sat Jul 11 11:09:15 +0000 2015
43,     That is liberal BSthe world intelligence agencies all believed WMD existed,11,1,[intelligence],2.1,9.09090909091,Sat Jul 11 11:09:14 +0000 2015
46, The money that a country starts to make player strong increases and expects to,14,1,[strong],2.3,7.14285714286,Sat Jul 11 11:07:24 +0000 2015
47,"  We wokeup in freedom AmirHekmati woke up to another
day in cell in Iran FreeAmirNow ",15,1,[freedom],3.2,6.66666666667,Sat Jul 11 11:07:02 +0000 2015
48,Message to  and  IslamicState is Islam  Its Pure PoisonNow Grow som balls and smash the Evil ,16,1,[evil],-3.4,6.25,Sat Jul 11 11:06:57 +0000 2015
49, YOU ROLL WITH XO OR NAH,6,1,[nah],-0.4,16.6666666667,Sat Jul 11 11:06:23 +0000 2015
51, Is the  Economic Blueprint a SCAM ,6,1,[scam],-2.7,16.6666666667,Sat Jul 11 11:06:03 +0000 2015
52, Sir Look forward to your support in my struggle for my DaughtersEU Nationalshave sent a mail with Details Regards,19,2,"[support, struggle]",0.2,10.5263157895,Sat Jul 11 11:05:59 +0000 2015
53, The sports agency deepens the connection of the government office and aims at making it easy to do work,19,1,[easy],1.9,5.26315789474,Sat Jul 11 11:04:57 +0000 2015
55,   wanted to know a big GameofThrones spoiler He didnt like the answer ComicCon  http,14,1,[like],1.5,7.14285714286,Sat Jul 11 11:04:04 +0000 2015
56,     ok So if  gwb Jr makes up false evidence then what Obama ended it,14,1,[ok],1.6,7.14285714286,Sat Jul 11 11:04:04 +0000 2015
57,From my friends the person who has been the longest time on Twitter is  Im in the position 209 of 1827 ,21,1,[friends],2.1,4.7619047619,Sat Jul 11 11:03:06 +0000 2015
58,"    it would be a pleasure if you see this

dontgotoseaworld ",10,1,[pleasure],2.7,10.0,Sat Jul 11 11:02:32 +0000 2015
61,  It is good to be black   TEEP  AfricanEntrepreneurs   ,8,1,[good],1.9,12.5,Sat Jul 11 11:00:47 +0000 2015
64, can I now marry my ar15 I love it  Or mcdonalds Im loving it,14,2,"[love, loving]",3.05,14.2857142857,Sat Jul 11 11:00:03 +0000 2015
66,  WholeBosnia is under threat of GenocidebyRussia and Serbia     ,8,1,[threat],-2.4,12.5,Sat Jul 11 10:59:11 +0000 2015
68,"  Muslims entering the WhiteHouse and ask  to leave after gay marriage approval

",12,2,"[leave, approval]",0.95,16.6666666667,Sat Jul 11 10:58:57 +0000 2015
70, Britain supporting the killing of Christians in Nigeria Let Biafra go we are dying ,14,2,"[supporting, killing]",-0.75,14.2857142857,Sat Jul 11 10:58:36 +0000 2015
73, UGH he is really too much  we rly hate u 4 wat u have done to our nation jst chill ok obamasucks obamadrools,23,3,"[ugh, hate, ok]",-0.966666666667,13.0434782609,Sat Jul 11 10:57:53 +0000 2015
74,Watching the news in Spain and a report about America comes on and  appears Makes me realize what a good lookin president we have,24,1,[good],1.9,4.16666666667,Sat Jul 11 10:57:10 +0000 2015
75,Hmmm  is crushin on  cuz of Iran Know when this Iran thing started With Reagan smh,16,1,[smh],-1.3,6.25,Sat Jul 11 10:55:55 +0000 2015
76,  Good Evening  Morning Sir God Bless U All Sir,9,3,"[good, god, bless]",1.6,33.3333333333,Sat Jul 11 10:55:23 +0000 2015
78,Yeah im gonna make someone mad today  ,7,2,"[yeah, mad]",-0.5,28.5714285714,Sat Jul 11 10:55:06 +0000 2015
79,   bullshit,1,1,[bullshit],-2.8,100.0,Sat Jul 11 10:55:05 +0000 2015
82,It is good to be black   TEEP  AfricanEntrepreneurs   ,8,1,[good],1.9,12.5,Sat Jul 11 10:53:46 +0000 2015
83,  LandOfTheFree dont lift the embargo unless Castro agrees to protect HumanRights ,11,2,"[agrees, protect]",1.2,18.1818181818,Sat Jul 11 10:53:36 +0000 2015
84,  As a citizen of the state of Israel I trust our friends  and  and believe that they have our back in nuke ta,23,2,"[trust, friends]",2.2,8.69565217391,Sat Jul 11 10:53:29 +0000 2015
85,  Freedomforbaifrans We want our freedom       ,5,2,"[want, freedom]",1.75,40.0,Sat Jul 11 10:53:26 +0000 2015
89,   THATS ALL YOU GOT TO SAY UNINSUREDRATE  OBAMACARE OUR COUNTRY GOING DOWN TO HELL ALL YOU GOT TO SAY UNINS,20,1,[hell],-3.6,5.0,Sat Jul 11 10:52:34 +0000 2015
92,    Well thats itIm done CHANNELING LuciferIn fact fuck being a LibraryCard 4 A bit man,15,2,"[well, fuck]",-0.7,13.3333333333,Sat Jul 11 10:52:30 +0000 2015
93,"  Well this is awkward 
cc    
    ",5,2,"[well, awkward]",0.25,40.0,Sat Jul 11 10:52:24 +0000 2015
95,  Hey my friend  do the 11th of July the next independance day cuz  was born Thanks and see you a,20,2,"[friend, thanks]",2.05,10.0,Sat Jul 11 10:51:52 +0000 2015
96,"  it would be a pleasure if you see this

dontgotoseaworld ",10,1,[pleasure],2.7,10.0,Sat Jul 11 10:51:44 +0000 2015
97,Video Rep Chaffetz calls on President Obama to fire OPM chief  PresidentObama  ,12,1,[fire],-1.4,8.33333333333,Sat Jul 11 10:51:36 +0000 2015
98,  Most homeless since WW2 Earthwide under Bush Secretary Clinton and Obama War   ,12,1,[war],-2.9,8.33333333333,Sat Jul 11 10:51:30 +0000 2015
99, ableton ableton9 Need royalty free audio 1934 new musicyou deserve best   ,11,2,"[free, best]",2.75,18.1818181818,Sat Jul 11 10:50:37 +0000 2015
101," Download Free Election Stickers Now
Android
 iPhone  ",7,1,[free],2.3,14.2857142857,Sat Jul 11 10:50:22 +0000 2015
102,Do you keep cities in nevada so bright and full of light pollution to keep us from seeing what in the sky from Area 51  ,25,1,[bright],1.9,4.0,Sat Jul 11 10:50:12 +0000 2015
103,    is this what you and Michelle wanted Think hatred of America by black racis,14,1,[hatred],-3.2,7.14285714286,Sat Jul 11 10:49:33 +0000 2015
105,   actually she looks tan or beige No such thing as a white person,13,1,[no],-1.2,7.69230769231,Sat Jul 11 10:49:25 +0000 2015
108,Video Pres s weeklly address on makin it easier for communities to implement the Fair Housing Act ,17,2,"[easier, fair]",1.55,11.7647058824,Sat Jul 11 10:48:45 +0000 2015
109,"Two of my favorite guys 

    ",5,1,[favorite],2.0,20.0,Sat Jul 11 10:48:36 +0000 2015
113, Obama to Visit Prison First Time for a President  httptcoFEQ1u3N8iQ  fix em Brutal system,14,2,"[prison, brutal]",-2.7,14.2857142857,Sat Jul 11 10:48:21 +0000 2015
114,Is Jon Snow dead  ,4,1,[dead],-3.3,25.0,Sat Jul 11 10:48:20 +0000 2015
115, leading disability school is facing closure after 94 years Please RT autism deaf savepennuk ,14,1,[please],1.3,7.14285714286,Sat Jul 11 10:48:20 +0000 2015
116, Trigger happy cops in the US learn something  ,8,1,[happy],2.7,12.5,Sat Jul 11 10:48:14 +0000 2015
117,   superfan  is very upset about Jon Snows death  ,8,2,"[upset, death]",-2.25,25.0,Sat Jul 11 10:48:13 +0000 2015
118,    That was obviously a poor jokeA certain LUCIFER is whisperin in My EARShe Says,14,2,"[poor, certain]",-0.5,14.2857142857,Sat Jul 11 10:48:13 +0000 2015
119,The Question is how can you create homegrown ideas that will transform Africa Rep cc  TEEP,16,1,[create],1.1,6.25,Sat Jul 11 10:48:13 +0000 2015
120,"  The nightmare continues for SaeedAbedini and family
Your promise SaveSaeed IranTalksVienna  ",11,1,[promise],1.3,9.09090909091,Sat Jul 11 10:48:12 +0000 2015
121,"Like fanpage  

      ",2,1,[like],1.5,50.0,Sat Jul 11 10:48:10 +0000 2015
122,"  Dear 
 ",1,1,[dear],1.6,100.0,Sat Jul 11 10:48:09 +0000 2015
123, These 250000 civilians killed by Assad while you prevent free army from effective weapons to fight back U r the killer,21,7,"[killed, prevent, free, effective, weapons, fight, killer]",-0.828571428571,33.3333333333,Sat Jul 11 10:48:07 +0000 2015
124,Now President of United States is speaking  at the TEEP ,10,1,[united],1.8,10.0,Sat Jul 11 10:48:05 +0000 2015
125,  The End of a Mistake for the US    ,8,1,[mistake],-1.4,12.5,Sat Jul 11 10:48:02 +0000 2015
126,THIS is what  and  are so hot to negotiate with  failure IStandWithIsrael tcot GOP  ,14,1,[failure],-2.3,7.14285714286,Sat Jul 11 10:48:02 +0000 2015
127,"  Hey 
Since were getting rid of everything that offends people can we get rid of you flag stompers and Auburn",20,1,[offends],-2.0,5.0,Sat Jul 11 10:48:01 +0000 2015
128,  GameofThrones director David Nutter told  Jon Snow is really dead Why wasnt there a White House statem,17,1,[dead],-3.3,5.88235294118,Sat Jul 11 10:47:59 +0000 2015
129,    let me tell you your games with  and  is criminal ,10,1,[criminal],-2.4,10.0,Sat Jul 11 10:47:58 +0000 2015
131,  Say youll keep up the fightshow your support and chip in before midnight  ,13,1,[support],1.7,7.69230769231,Sat Jul 11 10:47:55 +0000 2015
135,  Now whole Bosnia is under threat of Genocide by Russia and Serbia     ,12,1,[threat],-2.4,8.33333333333,Sat Jul 11 10:47:47 +0000 2015
137,  I wouldnt accepts Islamic states is alquada those people are suffering under   weopeans of mass,15,2,"[accepts, suffering]",-0.4,13.3333333333,Sat Jul 11 10:47:46 +0000 2015
140,I wouldnt accepts Islamic states is alquada those people are suffering under   weopeans of mass destructions ,16,3,"[accepts, suffering, destructions]",-1.03333333333,18.75,Sat Jul 11 10:47:40 +0000 2015
142,From my friends the person who has been the longest time on Twitter is  Im in the position 209 of 1822 ,21,1,[friends],2.1,4.7619047619,Sat Jul 11 10:46:54 +0000 2015
143, We Need help for Effects of Industrial Effluent and Contamination of Ground Water in District  ,15,1,[help],1.7,6.66666666667,Sat Jul 11 10:46:45 +0000 2015
144,  you have made people unconscious by deadly poisons when they goes to hospitals then they have no clues w happe,20,2,"[poisons, no]",-1.95,10.0,Sat Jul 11 10:46:26 +0000 2015
148,Tell  Save the sage grouse and the American West Add your voice now ,13,1,[save],2.2,7.69230769231,Sat Jul 11 10:44:30 +0000 2015
149,  Nice friends you have ,4,2,"[nice, friends]",1.95,50.0,Sat Jul 11 10:42:10 +0000 2015
150, u has vales thats destroying citizens hearts u inserts micro chips in to ladies vaginas during consultations for your spying,20,1,[destroying],-2.6,5.0,Sat Jul 11 10:42:08 +0000 2015
152,An true AMERICAN hero punished by   ,6,3,"[true, hero, punished]",0.8,50.0,Sat Jul 11 10:41:02 +0000 2015
153, please follow this accounttkmc3,4,1,[please],1.3,25.0,Sat Jul 11 10:40:52 +0000 2015
154,  It was very nice meeting you mr president  ,8,1,[nice],1.8,12.5,Sat Jul 11 10:40:47 +0000 2015
155,  thanks for my birthday surprise  jk but wow youre fkkn cool lovewins,12,5,"[thanks, surprise, jk, wow, cool]",1.6,41.6666666667,Sat Jul 11 10:40:42 +0000 2015
156,  We are all created equal President Obama LoveWins,8,1,[created],1.0,12.5,Sat Jul 11 10:40:14 +0000 2015
157,  When all Americans are treated as equal we are all more free President Obama LoveWins,15,1,[free],2.3,6.66666666667,Sat Jul 11 10:39:04 +0000 2015
158,  excuse me  may I please borrow air force one i have a slumberparty to get to surely you understand,19,3,"[excuse, please, surely]",1.16666666667,15.7894736842,Sat Jul 11 10:38:47 +0000 2015
160, lives of people are in danger under  and  this cannot go on,12,1,[danger],-2.4,8.33333333333,Sat Jul 11 10:38:47 +0000 2015
161,  Watch the Presidents full statement on the Supreme Courts ruling on marriage equality LoveWins ,14,1,[supreme],2.6,7.14285714286,Sat Jul 11 10:38:46 +0000 2015
163, Honorable His Excellency President Barack Obama Ist Most humble request please We need your help for my Organization,18,4,"[honorable, excellency, please, help]",2.0,22.2222222222,Sat Jul 11 10:38:38 +0000 2015
164, Turkey is discussing possibility that establishing safe zone plan in Syria  ,11,1,[safe],1.9,9.09090909091,Sat Jul 11 10:38:36 +0000 2015
166," 

What is British Govt doing with one of the most corrupt men on earth Cameron stop supporting corruption in Nigeria",20,2,"[stop, supporting]",0.35,10.0,Sat Jul 11 10:38:32 +0000 2015
167,   Im Thinking Yellow Stone EruptingMassive Earth UpheavalsGet  IT My Sexy EarthGoddess ,11,1,[sexy],2.4,9.09090909091,Sat Jul 11 10:38:31 +0000 2015
170,WakeUpAmerica  doesnt like U or your country and his wife only felt proud when she was made Queen SJWs ,19,2,"[like, proud]",1.8,10.5263157895,Sat Jul 11 10:38:27 +0000 2015
171,  Sorry allow ,2,2,"[sorry, allow]",0.3,100.0,Sat Jul 11 10:38:27 +0000 2015
173,  If I remember you said  once you  are a Christian if you are you know GOD do not flow same sex marriage,22,1,[god],1.1,4.54545454545,Sat Jul 11 10:38:25 +0000 2015
174,If  wants to cement his legacy then completing the work of  1776 and ridding Britain of ToryScum would be perfect,20,1,[perfect],2.7,5.0,Sat Jul 11 10:38:22 +0000 2015
175,  those are three evil men supporting zoo call nigeria but thank chukwuabiama for Ipob which is Biafra ,17,3,"[evil, supporting, thank]",0.0,17.6470588235,Sat Jul 11 10:38:14 +0000 2015
176,   Its not fair to get to know about The Ruling Regime in Iran but being silent IranDeal   ,17,1,[fair],1.3,5.88235294118,Sat Jul 11 10:38:08 +0000 2015
177, KIll this one ,3,1,[kill],-3.7,33.3333333333,Sat Jul 11 10:38:07 +0000 2015
178, Good morning United States President Obama who is great great United States world peace Nobel Prize winner,17,8,"[good, united, great, great, united, peace, prize, winner]",2.4125,47.0588235294,Sat Jul 11 10:34:46 +0000 2015
179,I wish I could meet Obama when he comes here next week Just want to shake his hand  ,18,4,"[wish, want, shake, hand]",0.875,22.2222222222,Sat Jul 11 10:33:32 +0000 2015
180,  The price of a nuclear deal with Iran will be paid in the blood and suffering of the people of Syria  Obama ,22,1,[suffering],-2.1,4.54545454545,Sat Jul 11 10:33:03 +0000 2015
182,Hi  as US believes in Free Speech now that  is banning  and  messenger we need your help,17,2,"[free, help]",2.0,11.7647058824,Sat Jul 11 10:32:26 +0000 2015
183, Relistening to the  podcast episode for the fifth time inspiring  when you getting him on again ,16,1,[inspiring],1.8,6.25,Sat Jul 11 10:32:23 +0000 2015
185, sir plz save me Pakistanis enharrace me im 28 years old and there threatening me from past 8 years,19,3,"[plz, save, threatening]",0.0333333333333,15.7894736842,Sat Jul 11 10:32:22 +0000 2015
186," This live once attend meetings
optimal farm",7,1,[optimal],1.5,14.2857142857,Sat Jul 11 10:32:22 +0000 2015
188,"   
Biafra forbids jihadist terrorism
Biafrans worship CHUKWU OKIKE ABIAMA
FreeBiafra from Nigeria ",12,3,"[forbids, terrorism, worship]",-1.23333333333,25.0,Sat Jul 11 10:32:21 +0000 2015
189,3000 Americans die from foodborne illnesses each year Ask  to keep his FoodSafety promise ,14,3,"[die, illnesses, promise]",-1.26666666667,21.4285714286,Sat Jul 11 10:32:20 +0000 2015
190, The linguistic encoding of the key phrase inherent to the case is an interesting tool to consider the ongoing and future events,22,1,[interesting],1.7,4.54545454545,Sat Jul 11 10:32:20 +0000 2015
191, sir im from Pakistan and these people r trying to kill me in the name of Prophet Muhammed PBUH plz save me 923332179853,23,3,"[kill, plz, save]",-0.4,13.0434782609,Sat Jul 11 10:32:19 +0000 2015
192,  Biafra We want to be free    people of good will all over the world is it a Crime,18,4,"[want, free, good, crime]",0.5,22.2222222222,Sat Jul 11 10:32:19 +0000 2015
193,immigration  has broken Americas back and let us drown in a rising pool of water WakeUpAmerica ,16,2,"[broken, drown]",-2.4,12.5,Sat Jul 11 10:32:19 +0000 2015
194, The danger is presented within the last words of the phrase,11,1,[danger],-2.4,9.09090909091,Sat Jul 11 10:32:18 +0000 2015
196, Pay attention to the linguistic encoding of the circumstances of the event as a prediction of the developments in Pakistan,20,1,[pay],-0.4,5.0,Sat Jul 11 10:32:16 +0000 2015
197,world must be united to stop   s war crimes Together we can stop those two men including ,17,4,"[united, stop, war, stop]",-0.875,23.5294117647,Sat Jul 11 10:32:14 +0000 2015
198, was quick to use SC murders for his political purposes but the FBIs background check was the problem ,18,2,"[murders, problem]",-2.35,11.1111111111,Sat Jul 11 10:32:13 +0000 2015
199,  NO HEs not,3,1,[no],-1.2,33.3333333333,Sat Jul 11 10:32:13 +0000 2015
200,  Last summer I told  if the fed government wont secure the border Texas will  http,15,2,"[fed, secure]",-0.2,13.3333333333,Sat Jul 11 10:32:11 +0000 2015
201,For the 3 days  will be in Kenya he will sleep at undisclosed locationsjust like very many kenyan men  KOT,20,1,[like],1.5,5.0,Sat Jul 11 10:32:08 +0000 2015
204, The lax gun laws that  is unable to enforce Its called incompetence  ,12,2,"[gun, incompetence]",-1.85,16.6666666667,Sat Jul 11 10:32:06 +0000 2015
205,Link  by  is the most popular tweet in my news feed today,12,1,[popular],1.8,8.33333333333,Sat Jul 11 10:32:03 +0000 2015
208, The operation of Bentham Science Publishers should be immediately suspended its further processing should be totally rethought,17,1,[suspended],-2.1,5.88235294118,Sat Jul 11 10:31:58 +0000 2015
209,  Everyone deserves the same benefits no matter who they love  LoveIsLove,11,4,"[benefits, no, matter, love]",0.925,36.3636363636,Sat Jul 11 10:31:58 +0000 2015
211,   The 2nd GENOCIDE against Biafrans as promised by Buhari has begun3days of unreported aerial Bombardment ,15,1,[promised],1.5,6.66666666667,Sat Jul 11 10:31:55 +0000 2015
212, Obviously Bentham Science Publishers is the Foreign Terrorist Organization,9,1,[terrorist],-3.7,11.1111111111,Sat Jul 11 10:31:48 +0000 2015
213, please follow this accounttkmc3 q,5,1,[please],1.3,20.0,Sat Jul 11 10:31:48 +0000 2015
214,      no wmds,2,1,[no],-1.2,50.0,Sat Jul 11 10:31:42 +0000 2015
215,       Stop wars very expensive ,4,2,"[stop, wars]",-1.9,50.0,Sat Jul 11 10:31:40 +0000 2015
216,Even  thinks Jon Snow is dead,6,1,[dead],-3.3,16.6666666667,Sat Jul 11 10:31:39 +0000 2015
217, wanted to know a big GameofThrones spoiler He didnt like the answer ComicCon  ,13,1,[like],1.5,7.69230769231,Sat Jul 11 10:31:37 +0000 2015
218,   how can circumcised and uncircumcised be in one country Please we want our freedom or we might do order wise,20,4,"[please, want, freedom, wise]",1.725,20.0,Sat Jul 11 10:31:37 +0000 2015
219,  israel murder Palestinians everydaY And  have no idea israel is doing it with USA moneY ,15,2,"[murder, no]",-2.45,13.3333333333,Sat Jul 11 10:31:37 +0000 2015
220,The Supreme Courts ruling on the Affordable Care Act could go a long way in shaping the legacy of  ,19,2,"[supreme, care]",2.4,10.5263157895,Sat Jul 11 10:31:37 +0000 2015
221,   Freedom fighting is not a crime Free ProBiafran activists BenOnwuka and group ,12,4,"[freedom, fighting, crime, free]",0.375,33.3333333333,Sat Jul 11 10:31:37 +0000 2015
222, Respected Patron Please consider the ongoing events in Russia in Perm,11,2,"[respected, please]",1.7,18.1818181818,Sat Jul 11 10:31:36 +0000 2015
223, I am a Kenyan one who is not on your list of to meet I would like the opportunity  to meet you and chat mydreamsarevalid,25,2,"[like, opportunity]",1.65,8.0,Sat Jul 11 10:31:30 +0000 2015
224,"Game of Thrones director What I told Obama about Jon Snow 

 is a Fan of GameofThrones   Wow",17,2,"[fan, wow]",2.05,11.7647058824,Sat Jul 11 10:31:30 +0000 2015
225,Its serious    ,2,1,[serious],-0.3,50.0,Sat Jul 11 10:31:30 +0000 2015
227, with all due respect could you at least rise above politics and agenda just once to denounce the death of the sf woman,23,3,"[respect, denounce, death]",-0.733333333333,13.0434782609,Sat Jul 11 10:31:27 +0000 2015
230,  Mr president am medical student from Kenya  am longing to be in USA around you award me academic scholarship 254706485887,20,2,"[longing, award]",1.2,10.0,Sat Jul 11 10:31:27 +0000 2015
232,  Expanding overtime protections will improve the lives of middleclass families Read more  FixOver,13,1,[improve],1.9,7.69230769231,Sat Jul 11 10:31:23 +0000 2015
235,From my friends the person who has been the longest time on Twitter is  Im in the position 209 of 1816 ,21,1,[friends],2.1,4.7619047619,Sat Jul 11 10:31:12 +0000 2015
236,  Gulf states no longer trust US leadership with good reason  nucleartalks ,11,3,"[no, trust, good]",1.0,27.2727272727,Sat Jul 11 10:31:10 +0000 2015
237,too turnt 4 my own good  ,6,1,[good],1.9,16.6666666667,Sat Jul 11 10:31:10 +0000 2015
238,"   LOVE PRESOBAMA
to bring us back
from JBush
HELL
you must 
voteHillary
She is our only hope",17,3,"[love, hell, hope]",0.5,17.6470588235,Sat Jul 11 10:31:06 +0000 2015
240,  Weve got to make folks feel like their hard work is getting them somewhere President Obama FixOvertime,17,2,"[like, hard]",0.55,11.7647058824,Sat Jul 11 10:31:04 +0000 2015
244,  We put in place the toughest Wall Street reform in history thats protecting main street from another crisis President,19,2,"[toughest, crisis]",-1.7,10.5263157895,Sat Jul 11 10:31:01 +0000 2015
245,  The uninsured rate in America is now the lowest on record President Obama ACAWorks,14,1,[lowest],-1.6,7.14285714286,Sat Jul 11 10:30:59 +0000 2015
246,  Not only are more people getting health care businesses are able to start giving raises to their workers President Ob,20,2,"[care, giving]",1.8,10.0,Sat Jul 11 10:30:56 +0000 2015
248,  Weve been talking about the middle class since before it was cool President Obama,14,1,[cool],1.3,7.14285714286,Sat Jul 11 10:30:50 +0000 2015
